quiz_id,text,is_correct,order,image_url
8,First tone,True,1,
8,Second tone,False,2,
8,Third tone,False,3,
8,Fourth tone,False,4,
9,First tone,False,1,
9,Second tone,True,2,
9,Third tone,False,3,
9,Fourth tone,False,4,
10,First tone,False,1,
10,Second tone,False,2,
10,Third tone,True,3,
10,Fourth tone,False,4,
11,First tone,False,1,
11,Second tone,False,2,
11,Third tone,False,3,
11,Fourth tone,True,4,
12,First tone,False,1,
12,Second tone,False,2,
12,Third tone,False,3,
12,Fifth tone,True,4,
13,First tone,False,1,
13,Second tone,False,2,
13,Third tone,True,3,
13,Fourth tone,False,4,
14,First tone,False,1,
14,Second tone,False,2,
14,Third tone,False,3,
14,Fourth tone,True,4,
15,First tone,True,1,
15,Second tone,False,2,
15,Third tone,False,3,
15,Fourth tone,False,4,
16,First tone,False,1,
16,Second tone,False,2,
16,Third tone,False,3,
16,Fourth tone,True,4,
17,你好 (nǐ hǎo),True,1,
17,你号 (nǐ hào),False,2,
17,你好 (nǐ hào),False,3,
17,你号 (nǐ hǎo),False,4,
18,妈妈 (māma),True,1,
18,麻麻 (máma),False,2,
18,马马 (mǎma),False,3,
18,嘛嘛 (mama),False,4,
19,老师 (lǎoshī),True,1,
19,老是 (lǎoshì),False,2,
19,老事 (lǎoshí),False,3,
19,老诗 (lǎoshī),False,4,
20,喝水 (hē shuǐ),True,1,
20,和水 (hé shuǐ),False,2,
20,喝谁 (hē shuí),False,3,
20,河水 (hé shuǐ),False,4,
21,中国 (zhōngguó),True,1,
21,钟国 (zhōngguó),False,2,
21,重国 (zhòngguó),False,3,
21,中果 (zhōngguǒ),False,4,
22,朋友 (péngyǒu),True,1,
22,朋游 (péngyóu),False,2,
22,朋有 (péngyǒu),False,3,
22,朋又 (péngyòu),False,4,
23,学校 (xuéxiào),True,1,
23,学小 (xuéxiǎo),False,2,
23,学效 (xuéxiào),False,3,
23,学笑 (xuéxiào),False,4,
24,天气 (tiānqì),True,1,
24,填气 (tiánqì),False,2,
24,田气 (tiánqì),False,3,
24,天器 (tiānqì),False,4,
25,电视 (diànshì),True,1,
25,电世 (diànshì),False,2,
25,电市 (diànshì),False,3,
25,电示 (diànshì),False,4,
26,学生 (xuéshēng),True,1,
26,学声 (xuéshēng),False,2,
26,学生 (xuéshēng),False,3,
26,学省 (xuéshěng),False,4,
27,老师 (lǎoshī),True,1,
27,老实 (lǎoshí),False,2,
27,老是 (lǎoshì),False,3,
27,老市 (lǎoshì),False,4,
28,苹果 (píngguǒ),True,1,
28,平果 (píngguǒ),False,2,
28,品果 (pǐnguǒ),False,3,
28,评果 (píngguǒ),False,4,
29,房子 (fángzi),True,1,
29,放子 (fàngzi),False,2,
29,访子 (fǎngzi),False,3,
29,坊子 (fángzi),False,4,
30,桌子 (zhuōzi),True,1,
30,捉子 (zhuōzi),False,2,
30,拙子 (zhuōzi),False,3,
30,卓子 (zhuózi),False,4,
31,椅子 (yǐzi),True,1,
31,以子 (yǐzi),False,2,
31,已子 (yǐzi),False,3,
31,乙子 (yǐzi),False,4,
32,书本 (shūběn),True,1,
32,输本 (shūběn),False,2,
32,叔本 (shūběn),False,3,
32,树本 (shù běn),False,4,
33,电话 (diànhuà),True,1,
33,电画 (diànhuà),False,2,
33,电华 (diànhuá),False,3,
33,电话 (diànhuà),False,4,
34,桌子 (zhuōzi),True,1,
34,捉子 (zhuōzi),False,2,
34,拙子 (zhuōzi),False,3,
34,卓子 (zhuózi),False,4,
59,你好,True,1,
59,再见,False,2,
59,早上好,False,3,
59,晚上好,False,4,
60,再见,True,1,
60,你好,False,2,
60,早上好,False,3,
60,晚上好,False,4,
61,你好,True,1,
61,再见,False,2,
61,早上好,True,3,
61,晚上好,True,4,
65,你好,True,1,
65,再见,False,2,
65,早上好,False,3,
65,晚上好,False,4,
74,hǎo,True,1,
74,hào,False,2,
74,hāo,False,3,
74,háo,False,4,
75,jiàn,True,1,
75,jiān,False,2,
75,jiǎn,False,3,
75,jián,False,4,
80,你好,True,1,
80,再见,False,2,
80,早上好,False,3,
80,晚上好,False,4,
81,再见,True,1,
81,你好,False,2,
81,晚上好,False,3,
81,早上好,False,4,
82,你好,True,1,
82,再见,False,2,
82,早上好,True,3,
82,晚上好,True,4,
83,你好,True,1,
83,再见,False,2,
83,晚上好,True,3,
83,早上好,True,4,
95,我谢谢你,False,1,
95,谢谢你,True,2,
95,我喜欢你,False,3,
95,你谢谢我,False,4,
96,不客气,True,1,
96,我不喜欢,False,2,
96,再见,False,3,
96,对不起,False,4,
99,对不起,True,1,
99,谢谢,False,2,
99,没关系,False,3,
99,你好,False,4,
101,不客气,False,1,
101,没关系,False,2,
101,对不起,True,3,
101,不用谢,False,4,
103,对不起，我错了。,True,1,
103,对不起，你好。,False,2,
103,谢谢，对不起。,False,3,
103,再见，对不起。,False,4,
105,谢谢你,True,1,
105,我谢谢,False,2,
105,对不起你,False,3,
105,你好,False,4,
107,没关系,True,1,
107,谢谢,False,2,
107,再见,False,3,
107,对不起,False,4,
